start	end	text
0	10940	प устрой सज्एशठट मुईppa ललईंच यपन लवः
12180	19880	पिदनेस वैके फरारा तर visualization
20580	28360	मुईविवनिचबा खाखे लनेसर गब वड के यह रहन== Trevor
28360	30080	pharmacone mission
30080	33720	himkhai I mean不能 go off
33720	34500	eshe
34500	36020	cine
36020	37720	вот
37720	39740	haffx
39740	40900	haffx
40900	41980	haffx
41980	45200	haffx
45200	47220	haffa
47220	48180	haffx
48180	49140	haffx
49140	49960	haffx
49960	51180	haffx
51180	52560	haffx
52560	53540	haffx
53540	54460	haffs
54460	55640	haffx
55640	57380	haffx
57380	60060	papa, nai, gauri ki ruvdi, papa, yuton ki lairi hai
60380	61220	shitt
61540	62700	ki, mission to gaya
63300	64300	ye, kond sa rasta hai
64820	65300	Tommy
65700	67180	ki, to Tommy ki bhokne ke bhokne kya wala hai
67380	69140	ska maturne gaur ke bhokna sdi ko
69180	69980	love you Tommy
70180	72460	abhi 2 minutu na, am luk bilding ke nye ce poj chainke
72820	74260	mission successful hune wala hai
74820	75900	chai bhaar gindi amma
77580	78580	laktay poj kaya
79180	79660	pohon
80500	81020	2
81980	82500	3
83980	85820	dhik kya rai hai, petrol bhaar na hai, utar jaldi
